a art.一(个);每一(个)
dance vi.跳舞;摇晃 n.舞
danger n.危险;危险事物
dangerous a.危险的，不安全的
dare vt.&aux.v.敢;竟敢
daring a.大胆的，勇敢的
dark a.暗的;黑色的
darling n.亲爱的人;宠儿
dash vt.使猛撞;溅 n.猛冲
data n.数据; 资料
date n.日期 vt.注…日期
daughter n.女儿
dawn n.黎明;开端 vi.破晓
day n.(一)天，白昼，白天
daylight n.白昼，日光;黎明
dead a.死的，无生命的
deadly a.致命的，死一般的
deaf a.聋的;不愿听的
deal n.买卖;待遇 vt.给予
dear a.亲爱的 int.啊
death n.死，死亡;灭亡
debate n.&vi.争论，辩论
debt n.债，债务，欠债
decade n.十年，十年期
decay vi.腐烂;衰败 n.腐烂
deceit n.欺骗，欺诈
deceive vt.欺骗，蒙蔽，行骗
December n.十二月
decent a.正派的;体面的
decide vt.决定，决心;解决
decision n.决定，决心;果断
deck n.甲板;舱面;层面
declare vt.断言;声明;表明
decorate vt.装饰，装璜，修饰
decrease vi.&n.减少，减少
deduce vt.演绎，推论，推断
deed n.行为;功绩;契约
deep a.深的;纵深的
deepen vt.加深 vi.深化
deer n.鹿
defeat vt.战胜，击败;挫败
defect n.缺点，缺陷，欠缺
defence n.防御;防务;辩护
defend vt.保卫，防守
define vt.给…下定义;限定
definite a.明确的;肯定的
definitely ad.一定地，明确地
definition n.定义，释义;定界
degree n.程度;度;学位
delay vt.推迟;耽搁;延误
delete vt.删除;擦掉
delegation n.代表团
delicate a.纤细的;易碎的
delicious a.美味的，怡人的
delight n.快乐 vt.使高兴
deliver vt.投递，送交;发表
delivery n.投递;交付;分娩
demand vt.要求;需要;询问
democracy n.民主，民主制
democratic a.民主的，民主政体的
demonstrate vt.说明;论证;表露
dense a.密集的;浓厚的
density n.密集，稠密;密度
deny vt.否定;拒绝相信
depart vi.离开，起程;出发
department n.部，司，局，处，系
departure n.离开，出发，起程
depend vi.依*，依赖;相信
dependent a.依*的，依赖的
deposit vt.使沉淀;存放
depress vt.使沮丧;按下
depth n.深度;深厚;深处
derive vt.取得 vi.起源
descend vi.下来，下降;下倾
describe vt.形容;描写，描绘
description n.描写，形容;种类
desert n.沙漠 vt.离弃;擅离
deserve vt.应受，值得
design vt.设计 n.设计;图样
desirable a.值得相望的;可取的
desire vt.相望;要求 n.愿望
desk n.书桌，办公桌
despair n.绝望 vi.绝望
desperate a.拼死的;绝望的
despise vt.鄙视，蔑视
despite prep.不管，不顾
destination n.目的地，终点;目标
destroy vt.破坏;消灭;打破
destruction n.破坏，毁灭，消灭
detail n.细节;枝节;零件
detect vt.察觉，发觉;侦察
detection n.察觉，发觉;侦察
determination n.决心;决定;确定
determine vt.决定;查明;决心
develop vt.发展;形成;开发
development n.发展;开发;生长
device n.器械，装置;设计
devil n.魔鬼，恶魔
devise vt.设计，发明
devote vt.将…奉献，致力于
dew n.露，露水
diagram n.图解，图表，简图
dial n.钟面;拨号盘 vt.拨
dialect n.方言，土语，地方话
dialog n.对话，对白
diameter n.直径
diamond n.金钢石，钻石;菱形
diary n.日记，日记簿
dictate vt.&vi.口授;命令
dictation n.口授笔录，听写
dictionary n.词典，字典
die vi.死，死亡;灭亡
differ vi.不同，相异
difference n.差别;差;分歧
different a.差异的;各种的
difficult a.困难的;难对付的
difficulty a.困难;难事;困境
dig vt.掘，挖;采掘
digest vt.消化;领会 n.文摘
digital a.数字的，计数的
diligent a.勤勉的，勤奋的
dim a.昏暗的;朦胧的
dimension n.尺寸，尺度;面积
dinner n.正餐，主餐;宴会
dip vt.浸，蘸 vi.浸一浸
direct a.直接的;直率的
direction n.方向，方位;指导
directly ad.直接地;立即
director n.指导者;理事;导演
dirt n.尘，土;污物，污垢
dirty a.脏的;下流的
disable vt.使无能，使伤残
disadvantage n.不利，不利地位
disagree vi.有分歧;不一致
disappear vi.不见，失踪;消失
disappoint vt.使失望，使受挫折
disaster n.灾难，灾祸;天灾
disk n.圆盘，唱片;磁盘
discard vt.丢弃，抛弃，遗弃
discharge vt.释放;排出 n.释放
discipline n.纪律;训练 vt.训练
disclose vt.揭开，揭发;透露
discourage vt.使泄气，使灰心
discover vt.发现;暴露，显示
discovery n.发现;被发现的事物
discuss vt.讨论，谈论;论述
discussion n.讨论，谈论;论述
disease n.病，疾病;病害
disguise vi.隐瞒，掩埋 n.假装
disgust n.厌恶，憎恶
dish n.碟，盘子;菜肴
dishonour n.不光彩;丢脸的人
dislike vt.&n.不喜爱，厌恶
dismiss vt.不再考虑;解雇
disorder n.混乱，杂乱;骚乱
display vt.陈列，展览;显示
disposal n.丢掉，处理，销毁
dispose vi.去掉，丢掉;销毁
displease vt.使不愉快，使生气
dispute vi.争论，争执 n.争论
dissatisfy vi.使不满，使不平
dissolve vt.使溶解;解散
distance n.距离，间距;远处
distant a.在远处的，疏远的
distinct a.与其他不同的
distinction n.差别，不同，区分
distinguish vt.区别，辨别，认别
distress n.忧虑，悲伤;不幸
distribute vt.分发，分送;分布
distribution n.分发，分配;分布
district n.区;地区，区域
disturb vt.打扰，扰乱;弄乱
ditch n.沟，沟渠，渠道
dive vi.跳水;潜水;俯冲
diverse a.不一样的，相异的
divide vt.分;分配;分开
division n.分，分配;除法
divorce n.离婚，离异 vi.离婚
do aux.v. vt.做，干，办
dock n.船坞;码头;船厂
doctor n.医生，医师;博士
document n.公文，文件;证件
dog n.狗，犬，犬科动物
dollar n.元(货币单位)
domestic a.本国的;家庭的
donkey n.驴;笨蛋
door n.门，通道;一家
dorm n.宿舍
dormitory n.集体寝室;宿舍
dose n.剂量，用量;一剂
dot n.点，圆点 vt.打点于
double a.两倍的;双的
doubt n.怀疑;疑虑 vt.怀疑
doubtful a.难以预测的;怀疑的
doubtless ad.无疑地;很可能
down ad.向下，在下面
downstairs ad.在楼下 a.楼下的
downward a.向下的 ad.向下地
dozen n.一打，十二个
draft n.草稿;汇票 vt.起草
drag vt.拖，拉;拖曳
dragon n.龙;凶暴的人
drain vt.排去;放水 n.耗竭
drama n.一出戏剧，剧本
dramatic a.引人注目的，戏剧的
draw vt.画，划;拖;拨出
drawer n.抽屉
drawing n.图画，素描;绘图
dread n.畏惧;恐怖 vt.惧怕
dream n.梦;梦想 vi.做梦
dress n.女服，童装;服装
drift vi.漂流，漂泊 n.漂流
drill n.钻头;操练 vi.钻孔
drink vt.饮 vi.喝 n.饮料
drip vi.滴下;漏水 n.水滴
drive vt.驾驶;打入;驱
driver n.驾驶员，司机
drop vt.使落下;降低
drought n.旱灾，干旱
drown vi.淹死，溺死
drug n.药，药物，药材
drum n.鼓;鼓状物，圆桶
drunk a.醉的;陶醉的
dry a.干的，干燥的
duck n.鸭，雌鸭;鸭肉
due a.预期的;应给的
dull a.枯燥的;不鲜明的
dumb a.哑的;无言的
dump vt.倾卸，倾倒;倾销
durable a.耐久的，耐用的
duration n.持续，持久
during prep.在…期间
dusk n.薄暮，黄昏，幽暗
dust n.尘土，灰尘
duty n.职责;责任;税
dwelling n.住处，寓所
dye vt.染 n.染料;染色
dying a.垂死的;临终的
dynamic a.有活力的;动力的

each pron.各，各自 a.各
eager a.渴望的，热切的
eagle n.鹰
ear n.耳朵;听力，听觉
early ad.早 a.早的，早期的
earn vt.赚得，挣得;获得
earnest a.认真的，诚恳的
earth n.地球;陆地，地面
earthquake n.地震;大震荡
ease n.容易，舒适 vt.缓和
easily ad.容易地;舒适的
east n.东;东部 ad.在东方
eastern a.东方的;朝东的
easy a.容易的;安逸的
eat vt.吃，喝 vi.吃饭
echo n.回声，反响 vi.重复
economic a.经济的，经济学的
economical a.节约的;经济学的
economy n.经济;节约，节省
edge n.边缘，边;刀口
edition n.版，版本，版次
editor n.编辑，编者，校订者
educate vt.教育;培养;训练
education n.教育;训导;教育学
effect n.结果;效果，效力
effective a.有效的;有影响的
efficiency n.效率;功效，效能
efficient a.效率高的，有能力的
effort n.努力;努力的成果
egg n.蛋，鸡蛋，卵
eight num.八，八个，第八
eighteen num.十八，十八个
eighth num.第八 n.八分之一
eighty num.八十，八十个
either pron.(两者)任何一个
elaborate a.复杂的;精心制作的
elastic n.松紧带 a.有弹性的
elbow n.肘，肘部;弯管
elder a.年龄较大的 n.长者
elect vt.选举，推选;选择
election n.选举，选择权;当选
electric a.电的，电动的
electrical a.电的，电气科学的
electricity n.电，电学;电流
electron n.电子
electronic a.电子的
electronics n.电子学
element n.成分;要素;元素
elementary a.基本的;初级的
elephant n.象
elevator n.电梯;升降机
eleven num.十一，十一个
eleventh num.第十一(个)
eliminate vt.消灭，消除，排除
elimination n.消灭，排除，消除
else ad.其它，另外 a.别的
elsewhere ad.在别处，向别处
embarrass vt.使窘迫，使为难
embrace vt.拥抱;包括;包围
emerge vi.出现，涌现;冒出
emergency n.紧急情况，突然事件
emit vt.散发;发射;发表
emotion n.情感，感情;激动
emotional a.感情的，情绪的
emperor n.皇帝
emphasis n.强调，重点，重要性
emphasize vt.强调，着重
empire n.帝国
employ vi.雇用;用;使忙于
employee n.受雇者，雇员，雇工
employer n.雇佣者，雇主
employment n.工业;雇用;使用
empty a.空的;空洞的
enable vt.使能够，使可能
enclose vt.围住，圈起;附上
encounter vt.遭遇，遇到 n.遭遇
encourage vt.鼓励，支持，助长
end n.末端;目标 vt.结束
ending n.结尾，结局;死亡
endless a.无止境的
endure vt.忍受;容忍
enemy n.敌人;仇敌;敌兵
energy n.活力;精力;能
enforce vt.实施，执行;强制
engage vt.使从事于;聘用
engine n.发动机，引擎;机车
engineer n.工程师，技师
engineering n.工程，工程学
England n.英格兰;英国
English n.英语 a.英国人的
Englishman n.英国男子
enjoy vt.享受;欣赏，喜爱
enlarge vt.扩大，扩展;放大
enormous a.巨大的，庞大的
enough a.足够的 ad.足够地
ensure vt.保证;保护;赋予
enter vt.走进，进入;参加
entertain vt.使欢乐;招待
enthusiasm n.热情，热心，热忱
enthusiastic a.热情的，热心的
entire a.全部的，整个的
entitle vt.给…权利(或资格)
entrance n.入口，门口;进入
entry n.入口处;登记;进入
envelope n.信封;封套;封皮
environment n.环境，外界;围绕
envy vt.&n.妒忌;羡慕
equal a.相等的;平等的
equality n.等同，平等;相等
equation n.方程(式);等式
equip vt.装备，配备
equipment n.装备，设备，配备
equivalent a.相等的;等量的
era n.时代，年代;纪元
erect vt.建造;使竖立
error n.错误，谬误;差错
escape vi.逃跑;逸出 n.逃跑
especially ad.特别，尤其，格外
essay n.短文，散文，小品文
essential a.必要的，本质的
establish vt.建立，设立;确立
establishment n.建立，设立，确立
estimate vt.估计，评价 n.估计
Europe n.欧洲
European a.欧洲的 n.欧洲人
evaluate vt.评价，估…的价
evaporate vt.使蒸发 vi.蒸发
eve n.前夜，前夕，前一刻
even ad.甚至;甚至更，还
even a.均匀的;平的
evening n.傍晚，黄昏，晚上
event n.事件，大事;事变
eventually ad.终于;最后
ever ad.在任何时候;曾经
every a.每一的;每隔…的
everybody pron.每人，人人
everyday a.每天的，日常的
everyone pron.每人，人人
everything pron.每件事，事事
everywhere ad.到处，处处
evidence n.根据;证据，证人
evident a.明显的，明白的
evil n.邪恶;祸害 a.坏的
evolution n.进化，演化;发展
evolve vt.使进化;使发展
exact a.确切的;精确的
exactly ad.确切地;恰恰正是
exaggerate vt.&vi.夸大，夸张
exam n.考试;检查，细查
examination n.考试;检查，细查
examine vt.检查，仔细观察
example n.例子，实例;模范
exceed vt.超过，胜过;超出
exceedingly ad.极端地，非常
excellent a.优秀的，杰出的
except prep.除…之外
exception n.例外，除外
excess n.超越;过量;过度
excessive a.过多的，极度的
exchange vt.交换;交流 n.交换
excite vt.使激动;引起
exciting a.令人兴奋的
exclaim vi.呼喊;惊叫
exclude vt.把…排除在外
exclusively ad.专门地
excursion n.远足;短途旅行
excuse vt.原谅;免除 n.借口
execute vt.将…处死;实施
executive a.执行的 n.执行者
exercise n.锻炼，训练 vi.练习
exert vt.尽(力)，运用
exhaust vt.使筋疲力尽;用尽
exhibit vt.显示;陈列，展览
exhibition n.展览，陈列;展览会
exist vi.存在;生存，生活
existence n.存在，实在;生存
exit n.出口;退场 vi.退出
expand vt.扩大;使膨胀
expansion n.扩大，扩充;扩张
expect vt.预料，预期;等待
expectation n.期待，期望，预期
expense n.花费，消费;费用
expensive a.昂贵的，花钱多的
experience n.经验，感受;经历
experiment n.实验;试验
experimental a.实验的，试验的
expert n.专家 a.熟练的
explain vt.解释;为…辩解
explanation n.解释，说明;辩解
explode vt.使爆炸 vi.爆炸
exploit vt.剥削;利用;开拓
explore vt.&vi.探险，探索
explosion n.爆炸，爆发，炸裂
explosive n.炸药 a.爆炸的
export vt.输出，出口;运走
expose vt.使暴露;揭露
exposure n.暴露;揭露;曝光
express vt.表示 n.快车，快递
expression n.词句;表达;表情
extend vt.延长;扩大;致
extension n.延长部分;伸展
extensive a.广阔的;广泛的
extent n.广度;范围;程度
exterior a.外部的;对外的
external a.外部的，外面的
extra a.额外的 ad.特别地
extraordinary a.非同寻常的，特别的
extreme a.极度的;尽头的
extremely ad.极端，极其，非常
eye n.眼睛;眼力;鉴赏力
eyesight n.视力，目力 


facility n.设备;容易;便利
fact n.事实;实际，实情
factor n.因素;因子，系数
factory n.工厂，制造厂
faculty n.才能，能力;系，科
fade vi.褪色;逐渐消失
Fahrenheit n.华氏温度计
fail vi.失败;失灵;不能
failure n.失败;失败的人
faint a.微弱的;虚弱的
fair a.公平的;相当的
fair n.定期集市;博览会
fairly ad.相当;公平地
faith n.信任，信心;信仰
faithful a.忠诚的;如实的
fall vi.落下;跌倒;陷落
false a.不真实的;伪造的
fame n.名声，名望
familiar a.熟悉的;冒昧的
family n.家，家庭;家族
famine n.饥荒;严重的缺乏
famous a.著名的，出名的
fan n.(运动等)狂热爱好者
fan n.扇子，风扇 vt.扇
fancy n.想象力;设想;爱好
far a.远的 ad.远，遥远
fare n.车费，船费，票价
farewell int.再会 n.告别
farm n.农场，农庄;饲养场
farmer n.农民，农夫;农场主
farther ad.更远地 a.更远的
fashion n.样子，方式;风尚
fashionable a.流行的，时髦的
fast a.快的;偏快的 ad.快
fasten vt.扎牢，扣住
fatal a.致命的;命运的
fate n.命运，天数
father n.父亲;神父;创始人
father-in-law n.岳父;公公
fatigue n.疲劳，劳累
fault n.缺点;过失;故障
faulty a.有错误的，有缺点的
favour n.好感;赞同;恩惠
favourable a.有利的;赞成的
favourite a.特别受喜爱的
fear n.害怕;担心 vt.害怕
fearful a.害怕的，可怕的
feasible a.可行的;可能的
feast n.盛宴，筵席;节日
feather n.羽毛;翎毛;羽状物
feature n.特征，特色;面貌
February n.二月
federal a.联邦的;联盟的
fee n.费，酬金;赏金
feeble a.虚弱的;微弱的
feed vt.喂(养) vi.吃饲料
feedback n.回授，反馈，反应
feel vi.有知觉 vt.触，摸
feeling n.感情;感觉，知觉
fellow n.人，家伙;伙伴
female n.雌性的动物;女子
fence n.栅栏
fertile a.肥沃的;多产的
fertilizer n.肥料
festival n.节日;音乐节
fetch vt.拿来;请来，接去
fever n.发热，发烧;狂热
few a.很少的;少数的
fibre n.纤维，纤维质
fiction n.小说;虚构，杜撰
field n.田野;田;运动场
fierce a.凶猛的，狂热的
fifteen num.十五;十五个
fifth num.第五 n.五分之一
fifty num.五十，五十个
fight vi.打(仗);斗争
figure n.数字;外形;人物
file n.档案 vt.把…归档
fill vt.装满，盛满;占满
film n.影片;胶卷;薄层
filter vt.过滤 n.滤纸
final a.最后的;决定性的
finally ad.最后;不可更改的
finance n.财政，金融;财源
financial a.财政的，金融的
find vt.找到;发觉;找出
finding n.发现;调查的结果
fine a.美好的;纤细的
fine n.罚金，罚款
finger n.手指;指状物
finish vt.完成，结束 n.结束
fire n.火;火灾 vi.开火
fireman n.消防队员;司炉工
firm n.商行，商号，公司
first num.第一 ad.最初
fish n.鱼，鱼肉 vi.钓鱼
fisherman n.渔民，渔夫，打鱼人
fist n.拳(头)
fit vt.适合;安装vi.适合
five num.五，五个，第五
fix vt.使固定;决定
flag n.旗，旗帜;旗舰旗
flame n.火焰;光辉;热情
flare vi.闪耀 vt.使闪亮
flash n.闪光 vi.闪，闪烁
flat a.平的，扁平的
flat n.一套房间;单元住宅
flavour n.味，味道;风味
fleet n.舰队;船队，机群
flesh n.肉，肌肉;肉体
flexible a.易弯曲的;灵活的
flight n.航班;飞行;逃跑
float vi.漂浮 vt.使漂浮
flock n.羊群，群;大量
flood n.洪水 vt.淹没
floor n.地板;楼层
flour n.面粉，粉;粉状物质
flourish vi.繁荣，茂盛，兴旺
flow vi.流动;飘垂;涨潮
flower n.花，花卉;开花
flu n.流行性感冒
fluent a.流利的，流畅的
fluid n.流体，液体
flush vi.奔流;(脸)发红
fly n.蝇，苍蝇 vi.飞行
focus vi.聚焦，注视 n.焦点
fog n.雾;烟雾，尘雾
fold vt.折叠;合拢 n.褶
folk n.人们，家属，亲属
follow vt.跟随;结果是
following a.接着的;下列的
fond a.喜爱的;溺爱的
food n.食物，食品，养料
fool n.蠢人，傻子 vt.欺骗
foolish a.愚蠢的;鲁莽的
foot n.脚;最下部;英尺
football n.足球比赛;足球
footstep n.脚步;脚步声;足迹
for prep.为;给;因为
forbid vt.禁止，不许;阻止
force vt.强迫 n.力，力量
forecast n.预测，预报 vt.预示
forehead n.额头，前部
foreign a.外国的;外来的
foreigner n.外国人
foremost a.最初的;第一流的
forest n.森林;森林地带
forever ad.永远，总是，老是
forget vt.忘记，遗忘
forgive vt.原谅，饶恕，宽恕
fork n.餐*;*;分*
form n.形式;形状 vt.形成
formal a.正式的;礼仪上的
formation n.形成;构成;形成物
former a.在前的 n.前者
formula n.公式，式
forth ad.向前;向外，往外
fortnight n.两星期，十四天
fortunate a.幸运的，侥幸的
fortunately ad.幸运地，幸亏
fortune n.命运，运气;财产
forty num.四十，第四十
forward ad.向前;今后，往后
found vt.创立，创办;建立
foundation n.基础;地基;基金
fountain n.泉水，喷泉;源泉
four num.四，四个，第四
fourteen num.十四，第十四
fourth num.第四，四分之一
fox n.狐狸;狡猾的人
fraction n.小部分;片断;分数
fragment n.碎片，破片，碎块
frame n.框架，框子;构架
framework n.框架，构架，结构
France n.法国，法兰西
frank a.坦白的，直率的
free a.自由的;空闲的
freedom n.自由;自主
freely ad.自由地;直率地
freeze vi.冻;结冻vt.使结冰
freight n.货运;货物;运费
French a.法国的 n.法国人
frequency n.屡次;次数;频率
frequent a.时常发生的;经常的
frequently ad.时常，常常
fresh a.新的;新鲜的
friction n.摩擦，摩擦力
Friday n.星期五
fridge n.电冰箱
friend n.朋友，友人
friendly a.友好的，友谊的
friendship n.友谊，友好
frighten vt.使惊恐，吓唬
frog n.蛙
from prep.从…来;离开
front a.前面的 n.前部
frontier n.边境;边疆;新领域
frost n.冰冻，严寒;霜
frown vi.皱眉，蹙额
fruit n.水果;果实;成果
fruitful a.多产的;肥沃的
fry vt.油煎，油炸，油炒
fuel n.燃料 vt.给…加燃料
fulfil vt.履行;满足;完成
full a.满的;完全的
fun n.乐趣，娱乐;玩笑
function n.功能;职务;函数
fund n.资金;基金;存款
fundamental a.基础的，基本的
funeral n.葬礼，丧礼，丧葬
funny a.古怪的;滑稽的
fur n.软毛;毛皮，裘皮
furious a.狂怒的;狂暴的
furnace n.炉子，熔炉;鼓风炉
furnish vt.供应，提供;装备
furniture n.家具;装置，设备
further ad.更远地 a.更远的
furthermore ad.而且，此外
future n.将来，未来;前途

gain vt.获得;增加 n.增进
gallery n.长廊，游廊;画廊
gallon n.加仑
game n.游戏;比赛;猎物
gang n.一帮，一伙
gap n.缺口;间隔;差距
garage n.车库;加油站
garbage n.垃圾，污物，废料
garden n.花园，菜园;公园
gardener n.园丁，花匠
gas n.煤气;气体;汽油
gaseous a.气体的，气态的
gasoline n.(美)汽油
gasp vi.气喘，喘息
gate n.大门;篱笆门
gather vi.聚集;集合vt.收集
gauge vt.量，测量 n.量器
gay a.快乐的;鲜明的
gaze vi.凝视，盯，注视
general a.总的;一般的n.将军
generally ad.一般地;通常地
generate vt.发生;引起;生殖
generation n.一代，一代人;产生
generator n.发电机;发生者
generous a.慷慨的;宽厚的
genius n.天才，天赋，天资
gentle a.和蔼的;轻柔的
gentleman n.绅士;有教养的人
gently ad.有礼貌地;柔和地
genuine a.真的;真正的
geography n.地理，地理学
geometry n.几何，几何学
germ n.微生物，细菌，幼芽
German a.德国的 n.德国人
Germany n.德意志，德国
gesture n.姿势，手势;姿态
get vi.变得，成为;到达
ghost n.鬼，灵魂;鬼魂
giant n.巨人;巨物
gift n.礼物，赠品;天赋
girl n.女孩子，姑娘;女儿
give vt.做，作;送给
glad a.高兴的;乐意的
glance vi.看一下 n.一瞥
glare vi.瞪眼 n.瞪眼
glass n.玻璃;玻璃杯
glide vi.滑动;消逝 n.滑行
glimpse vt.瞥见 n.一瞥，一看
glitter vi.闪闪发光 n.闪光
globe n.地球，世界;地界仪
gloomy a.黑暗的;令人沮丧的
glorious a.光荣的;壮丽的
glory n.光荣;荣誉的事
glove n.手套
glow n.白热光 vi.发白热光
glue n.胶，胶水 vt.胶合
go vi.去;走;变为
goal n.球门;得分;目的
goat n.山羊
God n.神，神像;上帝
gold n.金;钱财 a.金制的
golden a.金色的;极好的
golf n.高尔夫球
good a.好的;有本事的
goodbye int.再见，再会
goodness n.优良，德性，仁慈
goods n.货物，商品
goose n.鹅，雌鹅
govern vt.统治，治理;支配
government n.政府;治理;政治
governor n.州长;主管人员
gown n.长袍，长外衣
grace n.优美，文雅;雅致
graceful a.优美的，优雅的
gracious a.有礼貌的;仁慈的
grade vt.给…分等级 n.等级
gradual a.逐渐的;渐进的
gradually ad.逐渐地，逐步地
graduate n.毕业生 vi.大学毕业
grain n.谷物，谷粒;颗粒
gramme n.克(重量单位)
grammar n.语法;语法书
grammatical a.语法上的
grand a.宏伟的;重大的
granddaughter n.孙女，外孙女
grandfather n.祖父;外祖父
grandmother n.祖母，外祖母
grandson n.孙子，外孙子
grant n.授给物 vt.授予
grape n.葡萄;葡萄藤
graph n.(曲线)图，图表
grasp vt.抓紧;掌握 n.抓
grass n.草;牧草;草地
grateful a.感激的;令人愉快的
gratitude a.感激，感谢，感恩
grave n.坟墓 a.严重的
gravity n.重力，引力;严重性
gray a.灰色的 n.灰色
great a.大的;伟大的
greatly ad.大大地，非常
greedy a.贪吃的;贪婪的
Greek a.希腊的 n.希腊人
green a.绿色的 n.绿色
greenhouse n.温室，玻璃暖房
greet vt.问候，招呼;反应
greeting n.问候，招呼，致敬
grey a.灰色的 n.灰色
grieve vt.使悲痛 vi.悲痛
grind vt.磨(碎);磨快
grip vt.握紧，抓牢 n.紧握
groan vi.哼，呻吟 n.呻吟
grocer n.食品商;杂货商
grocery n.食品杂货店
gross a.总的;严重的
ground n.地;场地;根据
group n.小组，群 vi.聚集
grow vi.生长;变得;增长
growth n.增长;增长量;生长
guarantee n.保证;担保物
guard vt.守卫;看守 n.卫兵
guess vt.&vi.&n.猜测，推测
guest n.客人，宾客;旅客
guidance n.引导，指导，领导
guide n.导游者 vt.给…导游
guilty a.内疚的;有罪的
gulf n.海湾
gum n.口香糖;树胶
gun n.枪，炮，手枪
gunpowder n.黑色火药;有烟火药
gymnasium n.体育馆，健身房 


habit n.习惯;习性
habitual a.习惯性的，惯常的
hair n.头发，毛发;毛
haircut n.理发
half n.半，一半 a.一半的
hall n.门厅;过道;会堂
halt vi.停止;立定 n.停住
hamburger n.汉堡包，牛肉饼
hammer n.锤，榔头 vt.锤击
hand n.手;人手;指针
handful n.一把;少数，一小撮
handkerchief n.手帕
handle n.柄，把手 vt.拿，触
handsome a.英俊的;相当大的
handwriting n.笔迹，手迹，书法
handy a.手边的;便于使用的
hang vt.挂，悬;吊死
happen vi.发生;碰巧，恰好
happiness n.幸福，幸运;快乐
happy a.快乐的;幸福的
harbour n.海港，港口 vt.庇护
hard a.硬的;困难的
harden vt.使变硬 vi.变硬
hardly ad.几乎不，简直不
hardship n.艰难，困苦
hardware n.五金器具;硬件
hare n.野兔
harm n.伤害，损害 vt.损害
harmful a.有害的
harmony n.调合，协调，和谐
harness vt.治理 n.马具，挽具
harsh a.严厉的;刺耳的
harvest n.收获，收成 vt.收割
haste n.急速，急忙;草率
hasten vt.催促 vi.赶紧
hasty a.急速的;仓促的
hat n.帽子(一般指有边的)
hatch vt.孵出 vi.(蛋)孵化
hate vt.恨，憎恨;不喜欢
hateful a.可恨的，可恶的
hatred n.憎恶，憎恨，仇恨
have v.aux.已经 vt.有;吃
hawk n.鹰，隼
hay n.干草
hazard n.危险;公害
he pron.(主格)他
head n.头;上端 vt.率领
headache n.头痛;头痛的事
heading n.标题，题词，题名
headline n.大字标题;新闻提要
headmaster n.校长
headquarters n.司令部;总部
heal vt.治愈;使和解
health n.健康，健康状况
healthy a.健康的;有益健康的
heap n.(一)堆;大量
hear vt.听见;审讯;听说
heart n.心，内心;勇气
heat n.热，炎热 vi.变热
heating n.加热，供暖
heaven n.天堂;天，天空
heavily ad.重重地;大量地
heavy a.重的;大的;充满的
hedge n.篱笆，树篱;障碍物
heel n.脚后跟，踵，后跟
height n.高，高度;高处
heir n.后嗣，继承人
helicopter n.直升机
hell n.地狱;极大的痛苦
hello int.喂
helmet n.头盔，钢盔
help vt.帮助;援助 n.帮手
helpful a.给予帮助的;有用的
helpless a.无助的;无能的
hen n.母鸡，雌禽
hence ad.因此，所以;今后
her pron.(宾格)她;她的
herd n.兽群，牧群 vt.放牧
here ad.这里;向这里
hero n.男主角;英雄;勇士
heroic a.英雄的;英勇的
heroine n.女主角;女英雄
hers pron.她的(所有物)
herself pron.她自己;她亲自
hesitate vi.犹豫，踌躇;含糊
hi ini.嗨(表示问候等)
hide vt.把…藏起来;隐瞒
high a.高的;高级的 ad.高
highly ad.高度地，很，非常
highway n.公路;大路
hill n.小山，山岗;丘陵
hillside n.(小山)山腰，山坡
him pron.(宾格)他
himself pron.他自己;他亲自
hint n.暗示，示意;建议
hire vt.租借 n.租用，雇用
his pron.他的，他的东西
historical a.历史的，有关历史的
history n.历史;个人经历
hit vt.打;碰撞 n.击
hobby n.业余爱好，癖好
hold vt.拿住;掌握;拥有
hole n.洞;孔眼，裂开处
holiday n.假日，节日;假期
hollow a.空的;空洞的
holy a.神圣的;圣洁的
home n.家;家乡 a.家庭的
honest a.诚实的;可敬的
honesty n.诚实，正直
honey n.蜜，蜂蜜;甜，甜蜜
honeymoon n.蜜月
honour n.光荣;尊敬，敬意
honourable a.诚实的;光荣的
hook n.钩，挂钩 vt.钩住
hope n.&vt.&vi.希望
hopeful a.有希望的
hopeless a.没有希望的，绝望的
horizon n.地平线;眼界，见识
horizontal a.地平的;水平的
horn n.号角;警报器;角
horror n.恐怖;战栗;憎恶
horse n.马;马科动物
horsepower n.马力
hospital n.医院
host n.主人;东道主
hostess n.女主人;空姐
hostile a.敌方的;不友善的
hot a.热的;刺激的;辣的
hotel n.旅馆
hour n.小时;时间，时刻
house n.房屋，住宅;商号
household n.家庭，户;家务
housewife n.家庭主妇
how ad.怎么;怎样;多少
however ad.然而;不管怎样
huge a.巨大的，庞大的
human a.人的，人类的 n.人
humble a.谦逊的;地位低下的
humid a.湿的，湿气重的
humorous a.富于幽默的，诙谐的
humour n.幽默，诙谐，幽默感
hundred num.百，百个 n.许多
hunger n.饿，饥饿;渴望
hungry a.饥饿的;渴望的
hunt n.打猎;搜寻 vt.追猎
hurry vi.赶紧 vt.催促
hurt vt.使受伤;使痛心
husband n.丈夫
hut n.小屋，棚屋
hydrogen n.氢 

I pron.(主格)我
ice n.冰，冰块 vt.冰镇
ice-cream n.冰淇淋
idea n.想法;思想;意见
ideal a.理想的;观念的
identical a.完全相同的;同一的
identify vt.认出，识别，鉴定
idiom n.习语，成语
idle a.空闲的;懒散的
i.e. (=that is)那就是，即
if conj.假如，如果
ignorant a.不知道的;无知的
